name,meat
Masala Karela,FALSE
Spicy Tomato Rice,FALSE
Ragi Semiya Upma - Ragi Millet Vermicelli Breakfast,FALSE
Gongura Chicken Curry - Andhra Style Gongura Chicken,TRUE
Andhra Style Alam Pachadi - Adrak Chutney,FALSE
Pudina Khara Pongal (Rice and Lentils Cooked With Mint Leaves and Mild Spices),FALSE
Udupi Style Ash Gourd Coconut Curry,FALSE
Mexican Style Black Bean Burrito,FALSE
Spicy Crunchy Masala Idli,FALSE
Cauliflower Leaves Chutney,FALSE
Homemade Baked Beans (Wholesome and Healthy),FALSE
Veg Chili Cheese Burgers,FALSE
Andhra Steel Ingavu Charu - Asfoitida Flavored Tamarand Rasam,FALSE
And fish soup - Bengali style fish in tomato gravy,TRUE
Saunf Aloo (Fennel Potato Curry),FALSE
South Indian Onion Chutney - South Indian Onion Chutney,FALSE
Hariyali Egg Curry In Coriander and Mint Gravy,TRUE
Gourd Raita - Grated Bottle Gourd Yogurt Salad,FALSE
Homemade Tater Tots,FALSE
Chettinad Vegetable Casserole - Chettinad Vegetable Pulao,FALSE
Garlic Amla Chutney - Lehsun Amla Chutney,FALSE
Maharashtrian Kakdi Thalipeeth - Spiced Cucumber Flat Bread,FALSE
Homemade Healthy Subway Sandwich With Beet and Sprout,FALSE
South Indian Style Murungakkai Poriyal - Drumstick Stir Fry,FALSE
Kesar Mango Lassi - Saffron Mango Lassi,FALSE
Chettinad Sweet Paniyaram - Chettinad Sweet Paniyaram,FALSE
Mini Dal Samosa Curry / Sabzi,FALSE
Spinach Garlic Bruschetta With Red Bell Pepper Sauce,FALSE
Mini Dal Mature Chat - That Perfect Party Snack,FALSE
Asian Style Sweet and Spicy Green Beans,FALSE
Chinese Darsaan With Ice Cream,FALSE
Sundakkai and Methi Leaves Sambar - Sundkai Methi Sambar,FALSE
"Cabbage, Spinach, Pomegranate Slaw with Lemon Dressing",FALSE
Matar Samosa -Green Pea Samosa,FALSE
Eggless Chocolate Cupcakes With Raspberry and Cheese Frosting,FALSE
Kerala pala pradham,FALSE
Tindora Sambharo - Instant Tendli Pickle,FALSE
Chettinad Style Chicken Roast,TRUE
Palakottai Kujambu-Kongunad Style Jackfruit Seeds Curry,FALSE
Baingan Bharta - Brinjal Bharta,FALSE
Kesar Chai - A Delicious Saffron Flavored Indian Tea,FALSE
Pacha Manga Pachadi - Tamil Nadu Raw Mango Pachadi,FALSE
Short Knot Husband - Raw Jackfruit and Black Chickpea Stir Fry,FALSE
Whole Wheat Crepe With Herbed Vegetables,FALSE
Makki and Methi Roti,FALSE
Cabbage and Carrot Sambharo - Gujarati Vegetable Stir Fry,FALSE
Whole Wheat Pita Bread,FALSE
Andhra Steel Tomato Knock (Tomato Chutney),FALSE
Herbal Brown Rice - Herbal Brown Rice,FALSE
Aamras - Ripe Mango Ras,FALSE
Rajasthani very roti,FALSE
Peerkangai Thogayal (Ridge Gourd Peel Chutney),FALSE
Dalia Pakora - Dalia Pakora,FALSE
Paneer Tikka Saddle Roll,FALSE
Pan Fried Rice Balls Filled With Cheese,FALSE
Spicy Seafood Stew Casserole With Tomatoes And Lime,TRUE
Spicy Chilli Garlic Noodles,FALSE
Chanar Dal - Bengali Steel Paneer and Potato Gravy,FALSE
Cheesy Garlic Broccoli Nuggets,TRUE
Bengali radish potato vegetable,FALSE
Beetroot Sambar,FALSE
Kaddu Palak Roti (Pumpkin Spinach Flat Bread),FALSE
Iranian Baida Curry,TRUE
Vegan Chickpea Omelette (Spiced Chickpea Flour Pancakes),FALSE
Peanut Pudding - Salt Pudding / Firm Mod Modak,FALSE
Singapore Style Chicken Layered Fried Rice,FALSE
Tofu Pulao,FALSE
Masala Sandwich With Rocket Leaves,FALSE
Tomato Relish,FALSE
Dubuk Vade - Khandeshi Gram Flour Dumpling Curry,FALSE
Radish Soup,FALSE
Mango Donut Cake With Chocolate Glaze,FALSE
Matar Paneer Kachori Korma - Green Peas And Paneer Kachori Curry,FALSE
Zucchini Roll Up Lasagne,FALSE
Thengai Sadam (A Quick and Healthy Coconut Rice),FALSE
Karwar Style Ambade Udid Methi - Hog Plum Curry,FALSE
Roasted Cauliflower,FALSE
Pain Viennois | Vienna Bread,TRUE
Crunchy Ginger Capsicum Rice,FALSE
Bengali Chirer Payesh / Poha Pudding With Nolen Gur,FALSE
Makhan (Homemade Butter),FALSE
Shanghai Style Chap Nian Gaos (Stir Fried Rice Cakess),FALSE
White Pumpkin Mor Kuzhambu - Kerala Style White Pumpkin Curry,FALSE
Paneer and Green Peas Paratha - Paneer and Green Peas Paratha,FALSE
Elephant Yam Raita,FALSE
Drunken Noodles - Drunken Noodles,FALSE
Chettinad Style Prawn Biryani,TRUE
Walnut and Flax Seed Trail Mix With Figs and Honey,FALSE
Murgh Malaiwala - Chicken In Rich Creamy Gravy,TRUE
Paal Kesari - South Indian Style Milk Kesari,FALSE
Spicy Lemon Chicken Kebab,TRUE
Paneer Butter Masala Biryani - Layered Paneer Butter Masala Biryani,FALSE
Gond Ke Ladoo - Edible Gum Ladoo,FALSE
Mukhadi Halwa (Semolina and All Purpose Flour Halwa),FALSE
Kobari Charu - Kobbari Charu,FALSE
Basil Tincture (Or) - Herbal Drink From Basil,FALSE
Carrot Corn Mayo Pancake With Sandwich Spread,FALSE
Tamil Nadu Style Spicy Egg Fry,TRUE
Chirer Dudh Puli - Bengali Style Baten Rice Dumpling Milk,FALSE
Waffle Broth - Puppet's Yamarinta Crovy,FALSE
Kashmiri Style Modur Pulao With Pomegranate,FALSE
North Indian Style Mushroom Matar Masala,FALSE
Dhania Chole Masala - Chickpeas In Fresh Coriander Gravy,FALSE
